ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000885.SZ,城发环境,CNE000000Y45,交通运输-高速公路Ⅱ-高速公路Ⅲ,6117000000000000-6117050000000000-6117050100000000,交通运输--公路铁路--公路,b10o000000000000-b10o010000000000-b10o010100000000,否,否,否,76.40731235,交通运输,高速公路Ⅱ
000886.SZ,海南高速,CNE000000V48,交通运输-高速公路Ⅱ-高速公路Ⅲ,6117000000000000-6117050000000000-6117050100000000,交通运输--公路铁路--公路,b10o000000000000-b10o010000000000-b10o010100000000,否,否,否,48.94700085,交通运输,高速公路Ⅱ
000887.SZ,中鼎股份,CNE000000XP6,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,1000012588000000-6109030000000000-6109030100000000,汽车--汽车零部件Ⅱ--汽车零部件Ⅲ,b10d000000000000-b10d030000000000-b10d030100000000,否,否,是,160.9062545,汽车,汽车零部件Ⅱ
000888.SZ,峨眉山A,CNE000000T91,休闲服务-景点-自然景点,6121000000000000-6121020000000000-6121020200000000,消费者服务--旅游及休闲--景区,b10f000000000000-b10f010000000000-b10f010100000000,否,否,否,31.24594695,休闲服务,景点
000889.SZ,中嘉博创,CNE000000TT6,通信-通信运营Ⅱ-通信运营Ⅲ,1000012611000000-6122030000000000-6122030100000000,通信--增值服务Ⅱ--增值服务Ⅲ,b10q000000000000-b10q030000000000-b10q030100000000,否,否,否,56.73924163,通信,通信运营Ⅱ
000890.SZ,*ST胜尔,CNE0000007T7,非银金融-多元金融Ⅱ-多元金融Ⅲ,1000012613000000-6119010000000000-6119010100000000,综合--综合Ⅱ--综合Ⅲ,b10t000000000000-b10t010000000000-b10t010100000000,否,否,否,10.02253824,非银金融,多元金融Ⅱ
000892.SZ,欢瑞世纪,CNE000000XX0,传媒-文化传媒-影视动漫,6122010000000000-1000012604000000-6122010200000000,传媒--文化娱乐--影视,b10s000000000000-1000034857000000-1000034858000000,否,否,否,30.11610052,传媒,文化传媒
000893.SZ,亚钾国际,CNE000000XS0,化工-化学制品-钾肥,6103000000000000-6103040000000000-6103040600000000,基础化工--农用化工--钾肥,b106000000000000-b106010000000000-b106010200000000,否,否,否,67.81853317,化工,化学制品
000895.SZ,双汇发展,CNE000000XM3,食品饮料-食品加工-肉制品,6112000000000000-1000004584000000-1000004614000000,食品饮料--食品--肉制品,b10j000000000000-b10j030000000000-b10j030100000000,否,是,否,1652.296932,食品饮料,食品加工
000897.SZ,津滨发展,CNE000000Y60,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--园区综合开发,b10n000000000000-b10n010000000000-b10n010300000000,否,否,否,42.21080531,房地产,房地产开发Ⅱ
000898.SZ,鞍钢股份,CNE000000SQ4,钢铁-钢铁Ⅱ-普钢,6104000000000000-6104010000000000-6104010100000000,钢铁--普钢--板材,b105000000000000-b105010000000000-b105010200000000,否,否,是,291.5627562,钢铁,钢铁Ⅱ
000899.SZ,赣能股份,CNE000000TP4,公用事业-电力-火电,6116000000000000-6116010000000000-6116010100000000,电力及公用事业--发电及电网--火电,b104000000000000-b104010000000000-b104010100000000,否,否,否,46.24712582,公用事业,电力
000900.SZ,现代投资,CNE000000925,交通运输-高速公路Ⅱ-高速公路Ⅲ,6117000000000000-6117050000000000-6117050100000000,交通运输--公路铁路--公路,b10o000000000000-b10o010000000000-b10o010100000000,否,否,否,59.65065353,交通运输,高速公路Ⅱ
000901.SZ,航天科技,CNE000000Y86,机械设备-仪器仪表Ⅱ-仪器仪表Ⅲ,6107000000000000-6107030000000000-6107030100000000,国防军工--航空航天--航天军工,b10c000000000000-b10c010000000000-b10c010200000000,否,否,否,82.3743851,机械设备,仪器仪表Ⅱ
000902.SZ,新洋丰,CNE000000YG3,化工-化学制品-复合肥,6103000000000000-6103040000000000-1000004596000000,基础化工--农用化工--复合肥,b106000000000000-b106010000000000-b106010400000000,否,否,否,180.6773067,化工,化学制品
000903.SZ,云内动力,CNE000000YJ7,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,1000012588000000-6109030000000000-6109030100000000,汽车--汽车零部件Ⅱ--汽车零部件Ⅲ,b10d000000000000-b10d030000000000-b10d030100000000,否,否,否,85.72983728,汽车,汽车零部件Ⅱ
000905.SZ,厦门港务,CNE000000YL3,交通运输-港口Ⅱ-港口Ⅲ,6117000000000000-6117010000000000-6117010100000000,交通运输--航运港口--港口,b10o000000000000-b10o030000000000-b10o030200000000,否,否,否,45.88905771,交通运输,港口Ⅱ
